0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 42735690
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 42276938
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 42113098
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 41392202
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 41064522
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 40212554
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 39229514
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 39229514
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 39032906
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 39032906
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 38246474
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 38049866
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 36051018
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 35428426
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 34871370
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 33626186
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 33036362
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 32839754
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 31955018
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 31365194
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:38 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 30873674
